"","gene","mean_HNSC","mean_LUSC","mean_HNSC_minus_mean_LUSC","p","p.adj"
"1","SAMD11",0.441470902283981,0.471897426863207,-0.030426524579226,0.000325483804667764,0.0021655333851538
"2","NOC2L",0.938311018833872,0.920105541261566,0.018205477572306,0.00167808161826586,0.0021655333851538
"3","KLHL17",0.570711607118517,0.61030522833852,-0.0395936212200032,0.000423783438611968,0.0021655333851538
"4","PLEKHN1",0.457020762831372,0.417630171570166,0.0393905912612058,0.000939548483333606,0.0021655333851538
"5","PERM1",0.536756548168286,0.610319792551764,-0.0735632443834785,0.00111296564457549,0.0021655333851538
"6","RP11-54O7.17",0.634317521167436,0.578509528276654,0.0558079928907818,6.58221926704846e-05,0.0021655333851538
"7","ISG15",0.512081090050782,0.595733369320192,-0.0836522792694098,2.96351638446986e-05,0.0021655333851538
"8","AGRN",0.827676277435392,0.804059976615008,0.0236163008203841,0.000310720452623179,0.0021655333851538
"9","RP11-465B22.3",0.47991395641426,0.538114218628437,-0.0582002622141764,7.00056821624973e-05,0.0021655333851538
"10","LINC01342",0.579864587559016,0.662652231262706,-0.0827876437036899,0.000184430937981387,0.0021655333851538
"11","TTLL10",0.781969101893286,0.846978797792272,-0.0650096958989863,0.00112741140048495,0.0021655333851538
"12","TNFRSF18",0.654403815478068,0.676045701819554,-0.0216418863414861,0.000488298237778135,0.0021655333851538
"13","TNFRSF4",0.32988538396733,0.391596087617527,-0.0617107036501966,6.47465767757464e-05,0.0021655333851538
"14","SDF4",0.408471069499613,0.468262918256295,-0.0597918487566822,5.35215374919988e-05,0.0021655333851538
"15","B3GALT6",0.973324447570297,0.946972570245348,0.0263518773249485,1.33445462649723e-05,0.0021655333851538
"16","RP5-902P8.12",0.358188060773817,0.436804966120823,-0.078616905347006,5.63019359184232e-08,0.0021655333851538
"17","UBE2J2",0.879708862646981,0.841094840434964,0.0386140222120169,1.10733829181032e-06,0.0021655333851538
"18","ACAP3",0.5093391850746,0.555544167226856,-0.0462049821522568,0.00015701287920744,0.0021655333851538
